Rank,Name,Platform,Genre,Publisher,EU_Sales,JP_Sales,Other_Sales,Global_Sales
1901,MySims Agents,DS,Adventure,Electronic Arts,0.43,0.0,0.11,1.08
3318,Split/Second,X360,Racing,Disney Interactive Studios,0.23,0.0,0.06,0.61
10727,The Land Before Time: Great Valley Racing Adventure,PS,Racing,TDK Mediactive,0.04,0.0,0.01,0.1
15525,WRC 2: FIA World Rally Championship,PC,Racing,Ubisoft,0.01,0.0,0.0,0.02
13396,Ford Bold Moves Street Racing,PSP,Racing,Xplosiv,0.0,0.0,0.0,0.05
8064,Cabela's Adventure Camp,Wii,Misc,Activision,0.02,0.0,0.01,0.18
677,Skylanders SWAP Force,Wii,Platform,Activision,0.83,0.0,0.2,2.34
7366,World Poker Tour,PS2,Misc,Take-Two Interactive,0.08,0.0,0.03,0.21
15446,NHL 09,PC,Sports,Electronic Arts,0.02,0.0,0.0,0.02
7159,Conflict: Vietnam,XB,Shooter,SCi,0.05,0.0,0.01,0.22
6253,NBA 2K12,PSP,Sports,Take-Two Interactive,0.03,0.0,0.03,0.28
3041,Rock Band 3,Wii,Misc,MTV Games,0.06,0.0,0.05,0.67
1104,NBA Ballers,PS2,Sports,Midway Games,0.63,0.0,0.21,1.66
3813,Batman: Arkham Origins Blackgate,PSV,Action,Warner Bros. Interactive Entertainment,0.2,0.0,0.13,0.53
10228,Pac-Man and the Ghostly Adventures 2,PS3,Adventure,Namco Bandai Games,0.04,0.0,0.02,0.11
15447,Spanish for Everyone!,DS,Puzzle,Activision,0.0,0.0,0.0,0.02
3051,"The Chronicles of Narnia: The Lion, The Witch and The Wardrobe",GBA,Action,Disney Interactive Studios,0.18,0.0,0.01,0.67
13776,Jojo's Fashion Show: Design in a Dash!,DS,Simulation,Ubisoft,0.0,0.0,0.0,0.04
8390,VR Golf '97,PS,Sports,Gremlin Interactive Ltd,0.06,0.0,0.01,0.17
5611,Prey,X360,Shooter,Take-Two Interactive,0.03,0.0,0.03,0.32
1401,True Crime: Streets of LA,XB,Action,Activision,0.37,0.0,0.05,1.38
11444,Looney Tunes: Acme Arsenal,X360,Action,Warner Bros. Interactive Entertainment,0.01,0.0,0.01,0.08
7672,Spore Hero Arena,DS,Simulation,Electronic Arts,0.0,0.0,0.01,0.2
6629,Ice Age 2: The Meltdown,GBA,Platform,Vivendi Games,0.07,0.0,0.0,0.25
11105,Mad Dog McCree: Gunslinger Pack,Wii,Shooter,Majesco Entertainment,0.0,0.0,0.01,0.09
3759,Jewel Master Egypt,DS,Puzzle,Rondomedia,0.27,0.0,0.05,0.53
3192,Tony Hawk's Pro Skater 2x,XB,Sports,Activision,0.19,0.0,0.03,0.63
8822,Hidden Mysteries: Salem Secrets - Witch Trials of 1692,DS,Puzzle,Astragon,0.04,0.0,0.01,0.15
12730,Aggressive Inline,GC,Sports,Acclaim Entertainment,0.01,0.0,0.0,0.06
1984,Forza Motorsport,XB,Racing,Microsoft Game Studios,0.51,0.0,0.02,1.05
4501,007: Quantum of Solace,PS2,Action,Activision,0.0,0.0,0.26,0.43
7817,Trivial Pursuit unhinged,PS2,Misc,Atari,0.07,0.0,0.02,0.19
11085,MLB Superstars,Wii,Sports,Take-Two Interactive,0.0,0.0,0.01,0.09
7267,Dead Island,PC,Action,Deep Silver,0.07,0.0,0.03,0.22
15536,Shrek / Shark Tale Game Boy Advance Video,GBA,Misc,Hasbro Interactive,0.0,0.0,0.0,0.02
10619,Codename: Kids Next Door: Operation V.I.D.E.O.G.A.M.E.,PS2,Platform,Global Star,0.04,0.0,0.01,0.1
7178,Petz Rescue: Endangered Paradise,DS,Adventure,Ubisoft,0.0,0.0,0.02,0.22
6169,Rocket Power: Beach Bandits,GBA,Platform,THQ,0.07,0.0,0.01,0.28
14121,Asterix & Obelix: Kick Buttix,PS2,Action,Atari,0.01,0.0,0.0,0.03
11889,Elements of Destruction,DS,Strategy,THQ,0.0,0.0,0.01,0.07
15542,The Talos Principle,PS4,Puzzle,Devolver Digital,0.02,0.0,0.0,0.02
9613,Drome Racers,PS2,Racing,Electronic Arts,0.05,0.0,0.02,0.13
11309,Wildlife Park 3,PC,Simulation,bitComposer Games,0.07,0.0,0.02,0.08
13481,Backyard Baseball '09,Wii,Sports,Atari,0.0,0.0,0.0,0.04
13997,Music Maker: Rockstar,PS2,Misc,Magix,0.01,0.0,0.0,0.04
16103,Konami Classics Vol. 2,X360,Misc,Konami Digital Entertainment,0.0,0.0,0.0,0.01
4135,Tomb Raider: Underworld,Wii,Action,Eidos Interactive,0.28,0.0,0.06,0.48
11524,Puzzler Mind Gym 3D,3DS,Puzzle,Ubisoft,0.0,0.0,0.0,0.08
8988,Guilty Gear X2 #Reload,XB,Fighting,Zoo Digital Publishing,0.03,0.0,0.01,0.15
13504,Just Sing! Vol. 2,DS,Misc,PQube,0.04,0.0,0.01,0.04
12733,Viewtiful Joe: Red Hot Rumble,GC,Action,Capcom,0.01,0.0,0.0,0.06
6063,The Urbz: Sims In the City (US weekly sales),DS,Simulation,Electronic Arts,0.0,0.0,0.02,0.29
12410,Call of Duty 2,PC,Shooter,Activision,0.05,0.0,0.01,0.06
11108,Bakugan: Rise of the Resistance,DS,Strategy,Activision,0.02,0.0,0.01,0.09
9029,Casper: Spirit Dimensions,PS2,Platform,TDK Mediactive,0.05,0.0,0.02,0.14
4081,Rayman Raving Rabbids: TV Party,DS,Misc,Ubisoft,0.01,0.0,0.04,0.49
14796,Captain Morgane and the Golden Turtle,PS3,Adventure,Reef Entertainment,0.02,0.0,0.01,0.03
2422,MLB 99,PS,Sports,Sony Computer Entertainment,0.32,0.0,0.06,0.86
5959,Imagine: Makeup Artist,DS,Simulation,Ubisoft,0.0,0.0,0.02,0.29
9967,de Blob 2,DS,Platform,THQ,0.02,0.0,0.01,0.12
13568,Pro Evolution Soccer 2016,PC,Sports,Konami Digital Entertainment,0.04,0.0,0.0,0.04
2921,The Sims 3,DS,Simulation,Electronic Arts,0.25,0.0,0.06,0.7
6931,TrackMania: Build to Race,Wii,Racing,Focus Home Interactive,0.11,0.0,0.03,0.24
3965,The Mummy Returns,PS2,Action,Universal Interactive,0.19,0.0,0.06,0.5
5637,FIFA 2001 Major League Soccer,PS,Sports,Electronic Arts,0.12,0.0,0.02,0.32
2865,Virtua Fighter 4: Evolution,PS2,Fighting,Sega,0.27,0.0,0.09,0.71
13219,World Series of Poker,GC,Misc,Activision Value,0.01,0.0,0.0,0.05
16170,Order Up!!,3DS,Action,Funbox Media,0.01,0.0,0.0,0.01
15059,Xia-Xia,DS,Platform,Ужас,0.02,0.0,0.0,0.02
11699,Titanic Mystery,DS,Puzzle,PlayV,0.02,0.0,0.01,0.08
12706,Blade Dancer: Lineage of Light,PSP,Role-Playing,Atari,0.0,0.0,0.0,0.06
15276,Thomas & Friends: Hero of the Rails,Wii,Misc,Unknown,0.02,0.0,0.0,0.02
14137,Maximum Racing: Drag & Stock Racer,Wii,Racing,Nordic Games,0.0,0.0,0.0,0.03
6102,Earthworm Jim,GBA,Platform,Interplay,0.08,0.0,0.01,0.29
13829,Herc's Adventures,PS,Action,Virgin Interactive,0.01,0.0,0.0,0.04
9768,Chase: Hollywood Stunt Driver,XB,Racing,BAM! Entertainment,0.03,0.0,0.0,0.12
11613,Phantasy Star Online Episode III: C.A.R.D. Revolution,GC,Role-Playing,Sega,0.02,0.0,0.0,0.08
3141,Aliens: Colonial Marines,PS3,Shooter,Sega,0.31,0.0,0.13,0.64
7087,Freedom Fighters,XB,Shooter,Electronic Arts,0.05,0.0,0.01,0.23
12305,Sprung - A Game Where Everyone Scores,DS,Adventure,Ubisoft,0.0,0.0,0.0,0.06
13907,Harry Potter and the Prisoner of Azkaban,PC,Action,Electronic Arts,0.03,0.0,0.01,0.04
5267,Blasto,PS,Action,Sony Computer Entertainment,0.13,0.0,0.02,0.35
7829,Allied General,PS,Strategy,SSI,0.07,0.0,0.01,0.19
7689,Forgotten Realms: Demon Stone,PS2,Action,Atari,0.08,0.0,0.03,0.2
15939,Iron Soldier 3,PS,Simulation,Telegames,0.01,0.0,0.0,0.02
3807,Are You Smarter Than A 5th Grader?,DS,Misc,Mindscape,0.0,0.0,0.04,0.53
6156,Kung Fu Chaos,XB,Fighting,Microsoft Game Studios,0.06,0.0,0.01,0.28
1864,NERF N-Strike,Wii,Shooter,Electronic Arts,0.09,0.0,0.09,1.1
225,The Simpsons: Hit & Run,PS2,Racing,Vivendi Games,2.19,0.0,0.79,4.7
13742,Worms Armageddon,N64,Strategy,Infogrames,0.01,0.0,0.0,0.04
14815,CID The Dummy,Wii,Platform,Oxygen Interactive,0.0,0.0,0.0,0.03
6566,Sega Rally Revo,PSP,Racing,Sega,0.15,0.0,0.08,0.26
15856,Dragon Booster,DS,Shooter,Konami Digital Entertainment,0.0,0.0,0.0,0.02
1179,Hannah Montana: Music Jam,DS,Action,Disney Interactive Studios,0.37,0.0,0.15,1.58
5841,Lumines ll,PSP,Puzzle,Disney Interactive Studios,0.12,0.0,0.07,0.3
14183,Junior Island Adventure,DS,Puzzle,Unknown,0.0,0.0,0.0,0.03
2952,Minecraft: Story Mode,PS3,Adventure,Mojang,0.33,0.0,0.11,0.69
9219,Star Wars: Jedi Power Battles,GBA,Action,THQ,0.04,0.0,0.0,0.14
6927,Covert Ops: Nuclear Dawn,PS,Action,Sony Computer Entertainment,0.09,0.0,0.02,0.24
2711,FIFA Soccer 11,PS2,Sports,Electronic Arts,0.29,0.0,0.36,0.76
13321,Frogger: Ancient Shadow,GC,Platform,Konami Digital Entertainment,0.01,0.0,0.0,0.05
6900,X-Men: Destiny,X360,Action,Activision,0.05,0.0,0.02,0.24
11911,James Cameron's Dark Angel,XB,Action,Vivendi Games,0.02,0.0,0.0,0.07
1840,Tom Clancy's Splinter Cell: Chaos Theory,XB,Action,Ubisoft,0.38,0.0,0.05,1.11
13987,NHL Legacy,PS3,Action,Electronic Arts,0.0,0.0,0.01,0.04
3877,Jampack Winter 2002,PS2,Misc,Sony Computer Entertainment,0.2,0.0,0.07,0.52
10794,The Daring Game for Girls,Wii,Adventure,Unknown,0.0,0.0,0.01,0.1
2718,FIFA 15,Wii,Sports,Electronic Arts,0.46,0.0,0.06,0.76
5161,The Sims 2: Castaway,PS2,Simulation,Electronic Arts,0.01,0.0,0.05,0.37
11107,Game Hits!,DS,Misc,Foreign Media Games,0.01,0.0,0.01,0.09
10881,MLB SlugFest 20-04,XB,Sports,Midway Games,0.02,0.0,0.0,0.09
4253,SingStar Amped,PS2,Misc,Sony Computer Entertainment,0.18,0.0,0.06,0.46
11833,Commandos 2: Men of Courage,XB,Strategy,Eidos Interactive,0.02,0.0,0.0,0.07
5661,Riven: The Sequel to Myst,PS,Adventure,Acclaim Entertainment,0.12,0.0,0.02,0.32
13116,Dual Heroes,N64,Fighting,Hudson Soft,0.01,0.0,0.0,0.05
15072,Escape the Emerald Star,PC,Puzzle,PopCap Games,0.0,0.0,0.0,0.02
2368,Star Wars: Rebel Assault II - The Hidden Empire,PS,Shooter,CTO SpA,0.33,0.0,0.06,0.88
14241,Prince of Persia: The Forgotten Sands,PC,Action,Ubisoft,0.03,0.0,0.0,0.03
8203,NFL 2K2,XB,Sports,Sega,0.04,0.0,0.01,0.18
13871,Caesar IV,PC,Strategy,Vivendi Games,0.03,0.0,0.01,0.04
12136,Hammerin' Hero,PSP,Action,Irem Software Engineering,0.0,0.0,0.01,0.07
10056,Growlanser Generations,PS2,Role-Playing,Atlus,0.04,0.0,0.01,0.11
7848,The Polar Express,GBA,Adventure,THQ,0.05,0.0,0.0,0.19
9218,Ninjatown,DS,Strategy,SouthPeak Games,0.0,0.0,0.01,0.14
3381,The Fight: Lights Out,PS3,Fighting,Sony Computer Entertainment,0.22,0.0,0.09,0.6
13618,The Sims 2: Pets,PC,Simulation,Electronic Arts,0.02,0.0,0.01,0.04
15364,Prehistorik Man,GBA,Platform,THQ,0.01,0.0,0.0,0.02
11598,Monster Trucks DS,DS,Racing,Majesco Entertainment,0.0,0.0,0.01,0.08
15841,Zoey 101: Field Trip Fiasco,DS,Action,THQ,0.0,0.0,0.0,0.02
7027,LEGO The Hobbit,WiiU,Action,Warner Bros. Interactive Entertainment,0.11,0.0,0.02,0.23
9157,Bio FREAKS,N64,Action,GT Interactive,0.03,0.0,0.0,0.14
11836,Roll Away,PS,Puzzle,Sony Computer Entertainment,0.03,0.0,0.0,0.07
4146,Emergency Heroes,Wii,Racing,Ubisoft,0.27,0.0,0.06,0.48
15834,LifeSigns: Surgical Unit,DS,Simulation,JoWood Productions,0.01,0.0,0.0,0.02
14801,Archer Maclean Presents: Pool Paradise,GC,Sports,Ignition Entertainment,0.01,0.0,0.0,0.03
5785,Midway Arcade Treasures 2,XB,Misc,Midway Games,0.05,0.0,0.01,0.31
6693,Wayne Gretzky's 3D Hockey '98,N64,Sports,Midway Games,0.02,0.0,0.0,0.25
10427,Princess Debut,DS,Misc,Cave,0.0,0.0,0.01,0.1
9607,World Cup Golf: Professional Edition,PS,Sports,U.S. Gold,0.05,0.0,0.01,0.13
12371,Tron 2.0: Killer App,GBA,Action,Disney Interactive Studios,0.02,0.0,0.0,0.06
5589,Golden Axe: Beast Rider,PS3,Action,Sega,0.14,0.0,0.06,0.32
10733,Rise of the Tomb Raider,PC,Adventure,Square Enix,0.09,0.0,0.01,0.1
7596,Treasure World,DS,Simulation,Aspyr,0.0,0.0,0.01,0.2
13514,Grand Slam,PS,Misc,Virgin Interactive,0.02,0.0,0.0,0.04
7485,CSI: Deadly Intent,X360,Adventure,Ubisoft,0.08,0.0,0.02,0.21
15585,MotoGP 14,PSV,Racing,Milestone S.r.l.,0.01,0.0,0.0,0.02
1797,The Lord of the Rings: The Return of the King,XB,Action,Electronic Arts,0.38,0.0,0.05,1.14
13492,Dead Island Definitive Collection,XOne,Action,Deep Silver,0.02,0.0,0.0,0.04
13315,Robotech: Invasion,XB,Shooter,Global Star,0.01,0.0,0.0,0.05
12669,Tom Clancy's Ghost Recon: Advanced Warfighter,PS2,Shooter,Ubisoft,0.02,0.0,0.01,0.06
4466,Grind Session,PS,Sports,Sony Computer Entertainment,0.17,0.0,0.03,0.44
3151,LEGO Marvel's Avengers,PS4,Action,Warner Bros. Interactive Entertainment,0.29,0.0,0.1,0.64
2512,DJ Hero 2,X360,Misc,Activision,0.12,0.0,0.06,0.82
6459,Dragon Age Origins: Awakening,PS3,Role-Playing,Spike,0.0,0.0,0.02,0.26
8231,Warriors of Might and Magic,PS2,Adventure,3DO,0.07,0.0,0.02,0.17
11619,Backyard NFL Football '09,DS,Sports,Atari,0.0,0.0,0.01,0.08
11353,Pac-Man World Rally,GC,Racing,Namco Bandai Games,0.02,0.0,0.0,0.08
12549,Create,PC,Action,Electronic Arts,0.01,0.0,0.01,0.06
4300,iCarly,Wii,Adventure,Activision,0.0,0.0,0.03,0.46
12421,Muppets Party Cruise,PS2,Misc,TDK Mediactive,0.02,0.0,0.01,0.06
7451,Tony Hawk's Motion,DS,Sports,Activision,0.0,0.0,0.02,0.21
3310,Half-Life 2,XB,Shooter,Electronic Arts,0.21,0.0,0.03,0.61
3739,WWE SmackDown vs. Raw 2010,DS,Fighting,THQ,0.14,0.0,0.05,0.54
16586,Carmageddon 64,N64,Action,Virgin Interactive,0.0,0.0,0.0,0.01
5524,"Warhammer 40,000: Squad Command",PSP,Strategy,THQ,0.14,0.0,0.08,0.33
13200,Pinball Tycoon,GBA,Misc,Ignition Entertainment,0.01,0.0,0.0,0.05
15647,NHL 2K3,GC,Sports,Sega,0.0,0.0,0.0,0.02
14639,Spectral Souls: Resurrection of the Ethereal Empires,PSP,Role-Playing,Idea Factory,0.0,0.0,0.0,0.03
7017,Imagine: Detective,DS,Simulation,Ubisoft,0.01,0.0,0.06,0.23
15495,Commandos 3: Destination Berlin,PC,Strategy,Eidos Interactive,0.02,0.0,0.0,0.02
9382,Bakugan: Battle Trainer,DS,Action,Activision,0.0,0.0,0.01,0.13
12930,Samurai Champloo: Sidetracked,PS2,Action,Namco Bandai Games,0.02,0.0,0.01,0.05
15702,Lost: Via Domus,PC,Action,Ubisoft,0.01,0.0,0.0,0.02
6448,"Barbie: Jet, Set & Style!",Wii,Misc,THQ,0.01,0.0,0.02,0.26
4389,Tony Hawk's Proving Ground,PS3,Sports,Activision,0.05,0.0,0.05,0.45
12963,Air Conflicts: Aces of World War II,PSP,Simulation,Graffiti,0.0,0.0,0.0,0.05
10844,Raven Squad: Operation Hidden Dagger,X360,Shooter,Evolved Games,0.01,0.0,0.01,0.09
11210,Knights Contract,PS3,Action,Namco Bandai Games,0.03,0.0,0.01,0.09
13079,Shrek Super Party,GC,Misc,TDK Mediactive,0.01,0.0,0.0,0.05
13192,QUIZ PARTY,Wii,Misc,Nintendo,0.05,0.0,0.0,0.05
10508,Astro Boy: The Video Game,DS,Action,D3Publisher,0.0,0.0,0.01,0.1
11929,Galerians: Ash,PS2,Adventure,Sammy Corporation,0.03,0.0,0.01,0.07
11383,Exit,PSP,Puzzle,Ubisoft,0.0,0.0,0.01,0.08
11577,Drama Queens,DS,Misc,Majesco Entertainment,0.0,0.0,0.01,0.08
12069,Tom and Jerry in War of the Whiskers,GC,Fighting,NewKidCo,0.01,0.0,0.0,0.07
15900,The Sims 4: Luxury Party Stuff,PC,Simulation,Electronic Arts,0.01,0.0,0.0,0.02
13554,Get Up and Dance,PS3,Misc,O-Games,0.01,0.0,0.0,0.04
16166,Deus Ex,PC,Role-Playing,Eidos Interactive,0.01,0.0,0.0,0.01
11825,The King of Fighters Collection: The Orochi Saga,PSP,Fighting,Ignition Entertainment,0.0,0.0,0.0,0.07
10173,ESPN NHL Hockey,XB,Sports,Sega,0.02,0.0,0.0,0.11
2910,The Sims 2: Apartment Pets,DS,Simulation,Electronic Arts,0.31,0.0,0.07,0.7
1581,Wheel of Fortune,PS,Misc,Hasbro Interactive,0.22,0.0,0.04,1.26
8481,Spider-Man: Web of Shadows - Amazing Allies Edition,PSP,Action,Activision,0.02,0.0,0.02,0.16
13281,Ribbit King,GC,Sports,Atari,0.01,0.0,0.0,0.05
12923,Black Sigil: Blade of the Exiled,DS,Role-Playing,Graffiti,0.0,0.0,0.0,0.05
9469,The Oregon Trail,3DS,Simulation,Crave Entertainment,0.0,0.0,0.01,0.13
14065,Sins of a Solar Empire: Trinity,PC,Strategy,Kalypso Media,0.03,0.0,0.01,0.04
10948,Tak: The Great Juju Challenge,DS,Platform,THQ,0.0,0.0,0.01,0.09
13439,Ape Escape,PS3,Platform,Sony Computer Entertainment,0.03,0.0,0.01,0.05
13915,Dragon Ball: Advanced Adventure,GBA,Action,Namco Bandai Games,0.01,0.0,0.0,0.04
15236,Dance! It's Your Stage,PS3,Misc,DTP Entertainment,0.02,0.0,0.01,0.02
3393,CyberTiger,PS,Sports,Electronic Arts,0.22,0.0,0.04,0.59
6357,Fantastic 4,XB,Action,Activision,0.06,0.0,0.01,0.27
10278,Charlie and the Chocolate Factory,XB,Adventure,Global Star,0.02,0.0,0.0,0.11
9388,NHL 2K9,PS2,Sports,Take-Two Interactive,0.05,0.0,0.02,0.13
2286,MX vs. ATV Reflex,PS3,Racing,THQ,0.26,0.0,0.12,0.91
15576,Casper's Scare School: Spooky Sports Day,DS,Sports,Blast! Entertainment Ltd,0.0,0.0,0.0,0.02
15531,Rugby 06,XB,Sports,Electronic Arts,0.0,0.0,0.0,0.02
16381,Luxor: Pharaoh's Challenge,DS,Puzzle,Funsta,0.01,0.0,0.0,0.01
12611,PoPoLoCrois,PSP,Role-Playing,Ignition Entertainment,0.0,0.0,0.0,0.06
5638,Peppa Pig: Theme Park Fun,DS,Misc,P2 Games,0.28,0.0,0.04,0.32
5002,NFL GameDay 2002,PS2,Sports,Sony Computer Entertainment,0.15,0.0,0.05,0.38
829,NBA Jam,GEN,Sports,Arena Entertainment,0.25,0.0,0.05,2.05
2114,NASCAR 99,N64,Racing,Electronic Arts,0.04,0.0,0.01,0.98
10747,Rapala Pro Bass Fishing 2010,DS,Sports,Activision,0.0,0.0,0.01,0.1
15710,Back to the Future: The Game,XOne,Adventure,Telltale Games,0.02,0.0,0.0,0.02
5036,Virtua Tennis 2009,Wii,Sports,Sega,0.21,0.0,0.04,0.38
15620,Iridium Runners,PS2,Racing,SouthPeak Games,0.01,0.0,0.0,0.02
4850,Nicktoons: Freeze Frame Frenzy,GBA,Action,THQ,0.11,0.0,0.01,0.4
14306,Stacked with Daniel Negreanu,PSP,Misc,Myelin Media,0.0,0.0,0.0,0.03
10477,Yu-Gi-Oh! 5D's Wheelie Breakers,Wii,Racing,Konami Digital Entertainment,0.01,0.0,0.01,0.1
3524,Tomb Raider: Anniversary,PSP,Action,Eidos Interactive,0.23,0.0,0.13,0.57
16464,Razor Freestyle Scooter,GBA,Sports,Ubisoft,0.0,0.0,0.0,0.01
15237,Sacred Gold,PC,Role-Playing,Encore,0.02,0.0,0.0,0.02
2898,Doom 3: Resurrection of Evil,XB,Shooter,Activision,0.15,0.0,0.03,0.71
13490,"Roswell Conspiracies: Aliens, Myths & Legends",PS,Action,Red Storm Entertainment,0.02,0.0,0.0,0.04
8750,Knockout Kings 2003,GC,Sports,Electronic Arts,0.03,0.0,0.0,0.15
9340,Bio FREAKS,PS,Action,GT Interactive,0.05,0.0,0.01,0.13
4228,The Legend of Spyro: Dawn of the Dragon,DS,Platform,Vivendi Games,0.15,0.0,0.05,0.46
15731,Final Fight: Streetwise,XB,Action,Capcom,0.0,0.0,0.0,0.02
12122,Obscure,PS2,Adventure,Microids,0.03,0.0,0.01,0.07
1798,LEGO Star Wars: The Video Game,GBA,Action,Eidos Interactive,0.3,0.0,0.02,1.14
10610,NFL Tour,X360,Sports,Electronic Arts,0.0,0.0,0.01,0.1
4288,Scooby-Doo! and the Spooky Swamp,Wii,Action,Warner Bros. Interactive Entertainment,0.13,0.0,0.04,0.46
11220,Princess Isabella: A Witch's Curse,DS,Adventure,GSP,0.03,0.0,0.01,0.09
15827,A Vampyre Story,PC,Adventure,Crimson Cow,0.01,0.0,0.0,0.02
6928,DanceDanceRevolution II,Wii,Misc,Konami Digital Entertainment,0.0,0.0,0.02,0.24
14561,Heathcliff! The Fast and the Furriest,Wii,Racing,Storm City Games,0.0,0.0,0.0,0.03
13716,OutRun 2006: Coast 2 Coast,PSP,Racing,Sega,0.01,0.0,0.01,0.04
14209,Crazy Chicken: Star Karts,DS,Racing,Phenomedia,0.0,0.0,0.0,0.03
14268,Rome: Total War - Gold Edition,PC,Strategy,Sega,0.03,0.0,0.01,0.03
14030,World in Conflict: Complete Edition,PC,Strategy,Ubisoft,0.03,0.0,0.01,0.04
11460,The Legend of Alon D'ar,PS2,Role-Playing,Ubisoft,0.03,0.0,0.01,0.08
12888,Rez,PS2,Shooter,Sony Computer Entertainment,0.02,0.0,0.01,0.05
5988,NBA Street V3,GC,Sports,Electronic Arts,0.06,0.0,0.01,0.29
6731,America's Army: Rise of a Soldier,XB,Shooter,Ubisoft,0.05,0.0,0.01,0.25
5444,Tom Clancy's Ghost Recon Advanced Warfighter,XB,Shooter,Ubisoft,0.11,0.0,0.01,0.33
15577,7 Roses: A Darkness Rises,PC,Misc,Avanquest Software,0.02,0.0,0.0,0.02
14834,Ducati Moto,DS,Racing,Vir2L Studios,0.0,0.0,0.0,0.03
10289,The Polar Express,GC,Adventure,THQ,0.02,0.0,0.0,0.11
6230,Pinkalicious,DS,Misc,GameMill Entertainment,0.0,0.0,0.02,0.28
4506,"The Chronicles of Narnia: The Lion, The Witch and The Wardrobe",PS2,Action,Disney Interactive Studios,0.01,0.0,0.06,0.43
7574,Captain America: Super Soldier,PS3,Action,Sega,0.07,0.0,0.03,0.2
8122,World of Outlaws: Sprint Cars,X360,Racing,THQ,0.0,0.0,0.01,0.18
3577,Cabela's Big Game Hunter 2005 Adventures,PS2,Sports,Activision,0.21,0.0,0.07,0.56
6338,Bratz: The Movie,Wii,Simulation,THQ,0.01,0.0,0.02,0.27
6547,Loving Life with Hello Kitty & Friends,DS,Misc,Rising Star Games,0.08,0.0,0.02,0.26
3535,NBA Hangtime,N64,Sports,GT Interactive,0.08,0.0,0.0,0.57
13194,Around the World in 80 Days,GBA,Action,Hip Interactive,0.01,0.0,0.0,0.05
7706,The Fairly Odd Parents: Enter the Cleft,GBA,Platform,THQ,0.05,0.0,0.0,0.2
2143,LEGO The Lord of the Rings,Wii,Action,Warner Bros. Interactive Entertainment,0.37,0.0,0.08,0.97
12557,Pop Cutie! Street Fashion Simulation,DS,Simulation,Tecmo Koei,0.0,0.0,0.0,0.06
11827,You Don't Know Jack,DS,Misc,THQ,0.0,0.0,0.01,0.07
8624,Family Party: 30 Great Games Outdoor Fun,Wii,Misc,D3Publisher,0.01,0.0,0.01,0.16
3287,SingStar Singalong With Disney,PS2,Misc,Sony Computer Entertainment,0.04,0.0,0.57,0.61
10983,Driver: Renegade,3DS,Racing,Ubisoft,0.04,0.0,0.01,0.09
10633,Disney's Donald Duck: Goin' Quackers,N64,Platform,Ubisoft,0.02,0.0,0.0,0.1
9123,Cabela's Outdoor Adventures (2009),PS2,Sports,Activision Value,0.05,0.0,0.02,0.14
7371,Ghostbusters II,2600,Action,Activision,0.01,0.0,0.0,0.21
1750,LEGO Star Wars III: The Clone Wars,DS,Action,LucasArts,0.39,0.0,0.11,1.16
9617,Cabela's Dangerous Hunts 2011,DS,Sports,Activision,0.0,0.0,0.01,0.13
12137,Yoostar on MTV,X360,Misc,Unknown,0.0,0.0,0.0,0.07
4516,MLB 2002,PS,Sports,Sony Computer Entertainment,0.16,0.0,0.03,0.43
12301,Legend of the Dragon,Wii,Fighting,Game Factory,0.0,0.0,0.0,0.06
5890,Crazy Taxi: Catch a Ride,GBA,Racing,THQ,0.08,0.0,0.01,0.3
8712,Putty Squad,PS4,Platform,System 3,0.07,0.0,0.02,0.16
9879,NBA 2K2,GC,Sports,Sega,0.02,0.0,0.0,0.12
881,Scooby Doo and the Cyber Chase,PS,Adventure,THQ,1.23,0.0,0.13,1.94
9897,Battles of Prince of Persia,DS,Strategy,Ubisoft,0.01,0.0,0.01,0.12
4571,NBA Street,GC,Sports,Electronic Arts,0.09,0.0,0.01,0.42
7164,Discovery Kids: Dolphin Discovery,DS,Simulation,505 Games,0.0,0.0,0.01,0.22
